"invID","inv1","inv2","inv3","inv4","inv5","inv6","inv7","inv8","inv9","inv10","inv11","inv12","inv13","inv14","inv15","inv16","inv17","inv18","inv19","inv20","inv21","inv22","inv23","inv24","inv25","inv26","inv27","inv28","inv29","inv30","inv31","inv32","inv33","inv34","inv35","inv36","inv37","inv38","inv39","inv40","inv41","inv42","inv43","inv44","inv45","inv46","inv47","inv48","inv49","inv50","wear1","wear2","wear3","wear4","wear5","wear6"
"10118","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0"
"10050","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21005 1 0 0","0 0 0 0","0 0 0 0","24005 1 0 0","0 0 0 0"
"10050","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21005 1 0 0","0 0 0 0","0 0 0 0","24005 1 0 0","0 0 0 0"
"10068","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0"
"10132","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21005 1 0 0","0 0 0 0","0 0 0 0","24005 1 0 0","0 0 0 0"
"10080","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21004 1 0 0","0 0 0 0","0 0 0 0","24004 1 0 0","0 0 0 0"
"10134","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21013 1 0 0","0 0 0 0","0 0 0 0","24013 1 0 0","0 0 0 0"
"10062","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0"
"10063","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21005 1 0 0","0 0 0 0","0 0 0 0","24005 1 0 0","0 0 0 0"
"10082","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21004 1 0 0","0 0 0 0","0 0 0 0","24004 1 0 0","0 0 0 0"
"10072","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21004 1 0 0","0 0 0 0","0 0 0 0","24004 1 0 0","0 0 0 0"
"10136","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21005 1 0 0","0 0 0 0","0 0 0 0","24005 1 0 0","0 0 0 0"
"10078","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","22001 1 0 0","21003 1 0 0","0 0 0 0","0 0 0 0","24003 1 0 0","0 0 0 0"
"10120","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21005 1 0 0","0 0 0 0","0 0 0 0","24005 1 0 0","0 0 0 0"
"10148","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21013 1 0 0","0 0 0 0","0 0 0 0","24013 1 0 0","0 0 0 0"
"10088","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21012 1 0 0","0 0 0 0","0 0 0 0","24012 1 0 0","0 0 0 0"
"10076","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","22008 1 0 0","21015 1 0 0","0 0 0 0","0 0 0 0","24015 1 0 0","0 0 0 0"
"10102","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","21015 1 0 0","0 0 0 0","0 0 0 0","24008 1 0 0","0 0 0 0"
"10090","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","0 0 0 0","22009 1 0 0","21014 1 0 0","18002 1 0 0","0 0 0 0","24014 1 0 0","0 0 0 0"
